Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,Ticker,Common Shares Outstanding,Tangible Common Equity (TBV)
"Union Bankshares, Inc.",BHC-SP,1114940,Morrisville,VT,6/30/2025,"1,480,364",UNB,"4,551,335",
Wells Fargo & Company,BHC-Y9C,1120754,San Francisco,CA,6/30/2025,"1,981,269,000",WFC,"3,220,400,000",
"Dacotah Banks, Inc.",BHC-Y9C,1121229,Aberdeen,SD,6/30/2025,"4,611,687",DBIN,"11,137,027",
Amerant Bancorp Inc.,BHC-Y9C,1135972,Coral Gables,FL,6/30/2025,"10,334,678",AMTB,"41,748,434",
Community Bankers Corporation,BHC-SP,1138928,Indiana,PA,6/30/2025,"424,358",CTYP,"2,257,729",
"Star Financial Group, Inc.",BHC-SP,1141647,Fort Wayne,IN,6/30/2025,"3,016,711",SFIGA,"2,768,548",
"Honat Bancorp, Inc.",BHC-SP,1144107,Honesdale,PA,6/30/2025,"1,071,951",HONT,"1,431,759",
Webster Financial Corporation,BHC-Y9C,1145476,Stamford,CT,6/30/2025,"81,914,270",WBS,"167,083,000",
Bank First Corporation,BHC-Y9C,1208009,Manitowoc,WI,6/30/2025,"4,366,382",BFC,"9,833,476",
First Financial Corporation,BHC-Y9C,1208595,Terre Haute,IN,6/30/2025,"5,637,854",THFF,"11,850,645",
American Express Company,BHC-Y9C,1275216,New York,NY,6/30/2025,"295,556,000",AXP,"696,000,000",
"First Bankers Trustshares, Inc.",BHC-Y9C,1404632,Quincy,IL,6/30/2025,"1,219,485",FBTT,"2,996,761",
"Hawthorn Bancshares, Inc",BHC-SP,2038409,Jefferson City,MO,6/30/2025,"1,877,417",HWBK,"6,916,657",
"Lake Ridge Bancorp, Inc.",BHC-SP,2336806,Monona,WI,6/30/2025,"3,103,536",LRBI,"1,968,051",
"First Bancshares, Inc.",BHC-SP,2484417,Mountain Grove,MO,6/30/2025,"547,319",FBSI,"2,426,769",
"Northeast Indiana Bancorp, Inc.",BHC-SP,2514136,Huntington,IN,6/30/2025,"556,841",NIDB,"2,396,896",
"East West Bancorp, Inc.",BHC-Y9C,2734233,Pasadena,CA,6/30/2025,"78,158,067",EWBC,"137,816,000",
"Hope Bancorp, Inc.",BHC-Y9C,2961879,Los Angeles,CA,6/30/2025,"18,547,233",HOPE,"128,124,458",
"Landmark Bancorp, Inc.",BHC-Y9C,3030307,Manhattan,KS,6/30/2025,"1,624,865",LARK,"5,783,312",
"First Reliance Bancshares, Inc.",BHC-SP,3070312,Florence,SC,6/30/2025,"1,102,203",FSRL,"7,957,000",
Plumas Bancorp,BHC-SP,3098576,Reno,NV,6/30/2025,"1,628,517",PLBC,"5,934,000",
"Provident Financial Services, Inc.",BHC-Y9C,3133637,Jersey City,NJ,6/30/2025,"24,562,661",PFS,"130,624,243",
Five Star Bancorp,BHC-Y9C,3162927,Rancho Cordova,CA,6/30/2025,"4,413,473",FSBC,"21,360,991",
"First Western Financial, Inc.",BHC-Y9C,3189906,Denver,CO,6/30/2025,"3,026,797",MYFW,"9,717,922",
"Southern Missouri Bancorp, Inc.",BHC-Y9C,3266227,Poplar Bluff,MO,6/30/2025,"5,019,655",SMBC,"11,249,304",
Primis Financial Corp.,BHC-Y9C,3325740,Mc Lean,VA,6/30/2025,"3,871,758",FRST,"24,643,185",
Bank Of Marin Bancorp,BHC-Y9C,3590388,Novato,CA,6/30/2025,"3,726,193",BMRC,"16,116,470",
"Provident Financial Holdings, Inc.",BHC-SP,3632493,Riverside,CA,6/30/2025,"1,245,613",PROV,"6,577,718",
"Servisfirst Bancshares, Inc.",BHC-Y9C,3635319,Homewood,AL,6/30/2025,"17,378,628",SFBS,"54,618,545",
Enb Financial Corp,BHC-SP,3695957,Ephrata,PA,6/30/2025,"2,225,903",ENBP,"5,683,488",
"Axos Financial, Inc.",BHC-Y9C,3814310,Las Vegas,NV,6/30/2025,"24,783,079",AX,"56,483,617",
Greenville Federal Financial Corporation,BHC-SP,3828607,Greenville,OH,6/30/2025,"261,834",GVFF,"2,009,083",
"First Niles Financial, Inc.",BHC-SP,3828634,Niles,OH,6/30/2025,"157,579",FNFI,"1,538,567",
"Hilltop Holdings, Inc",BHC-Y9C,3838727,University Park,TX,6/30/2025,"15,362,273",HTH,"63,001,000",
"Nasb Financial, Inc.",BHC-SP,3841941,Grandview,MO,6/30/2025,"2,938,962",NASB,"7,215,956",
National Bank Holdings Corporation,BHC-Y9C,3973888,Greenwood Village,CO,6/30/2025,"9,998,729",NBHC,"38,045,622",
Green Dot Corporation,BHC-Y9C,4057262,Provo,UT,6/30/2025,"5,583,464",GDOT,"55,388,000",
Investar Holding Corporation,BHC-Y9C,4090054,Baton Rouge,LA,6/30/2025,"2,748,065",ISTR,"9,839,848",
"Veritex Holdings, Inc.",BHC-Y9C,4105266,Dallas,TX,6/30/2025,"12,527,868",VBTX,"54,265,000",
Rbb Bancorp,BHC-Y9C,4176855,Los Angeles,CA,6/30/2025,"4,090,040",RBB,"17,699,091",
"Customers Bancorp, Inc",BHC-Y9C,4284536,West Reading,PA,6/30/2025,"22,558,609",CUBI,"31,606,934",
"Bancorp 34, Inc.",BHC-SP,5009026,Scottsdale,AZ,6/30/2025,"931,267",BCTF,"6,675,633",
"Ssb Bancorp, Inc.",BHC-SP,5161353,Pittsburgh,PA,6/30/2025,"361,180",SSBP,"2,187,602",
GBank Financial Holdings Inc.,BHC-SP,5170805,Las Vegas,NV,6/30/2025,"1,232,424",GBFH,"14,274,000",
"Carter Bankshares, Inc.",BHC-Y9C,5530258,Martinsville,VA,6/30/2025,"4,784,091",CARE,"22,669,834",
"Catalyst Bancorp, Inc.",BHC-SP,5587775,Opelousas,LA,6/30/2025,"273,785",CLST,"4,142,816",
"1895 Bancorp Of Wisconsin, Inc.",BHC-SP,5589939,Greenfield,WI,6/30/2025,"611,733",BCOW,"5,555,602",
Endeavor Bancorp,BHC-SP,5718627,San Diego,CA,6/30/2025,"746,907",EDVR,"3,586,000",
"Mercer Bancorp, Inc.",BHC-SP,5838365,Celina,OH,6/30/2025,"176,958",MSBB,"1,025,431",
Jsb Financial Inc.,BHC-SP,5850143,Sheperdstown,WV,6/30/2025,"551,719",JFWV,"257,483",
"Beacon Holding Company, Inc.",BHC-SP,5886245,Mount Pleasant,SC,6/30/2025,"878,161",BCON,"4,252,530",
"Fb Bancorp, Inc.",BHC-SP,5926413,New Orleans,LA,6/30/2025,"1,246,638",FBLA,"19,837,500",
"Andover Bancorp, Inc.",BHC-SP,1071913,Andover,OH,6/30/2025,"574,913",ANDC,"2,016,853",
"Ameriserv Financial, Inc",BHC-SP,1117316,Johnstown,PA,6/30/2025,"1,448,733",ASRV,"16,519,267",
Franklin Financial Services Corporation,BHC-SP,1118238,Chambersburg,PA,6/30/2025,"2,286,745",FRAF,"4,468,000",
"Merchants Financial Group, Inc.",BHC-SP,1128769,Winona,MN,6/30/2025,"2,769,366",MFGI,"8,178,741",
HCB Financial Corp.,BHC-SP,1136287,Hastings,MI,6/30/2025,"659,128",HCBN,"1,020,000",
"National Bankshares, Inc.",BHC-SP,1139925,Blacksburg,VA,6/30/2025,"1,806,610",NKSH,"6,366,001",
"Pontiac Bancorp, Inc.",BHC-SP,1207712,Pontiac,IL,6/30/2025,"1,119,422",PONT,"206,918",
BankFirst Capital Corporation,BHC-SP,1247455,Macon,MS,6/30/2025,"2,776,163",BFCC,"5,437,657",
"Two Rivers Financial Group, Inc.",BHC-SP,1947102,Burlington,IA,6/30/2025,"1,188,719",TRVR,"2,086,645",
Glen Burnie Bancorp,BHC-SP,2001328,Glen Burnie,MD,6/30/2025,"350,721",GLBZ,"2,900,681",
Uwharrie Capital Corp,BHC-SP,2082532,Albemarle,NC,6/30/2025,"1,169,754",UWHR,"7,013,052",
"Psb Holdings, Inc.",BHC-SP,2321419,Wausau,WI,6/30/2025,"1,506,617",PSBQ,"4,041,573",
"Bonvenu Bancorp, Inc.",BHC-SP,2344856,Bossier City,LA,6/30/2025,"1,580,649",BBNA,"6,566,674",
Norwood Financial Corp.,BHC-SP,2365356,Honesdale,PA,6/30/2025,"2,365,350",NWFL,"9,260,522",
Absecon Bancorp,BHC-SP,2579612,Absecon,NJ,6/30/2025,"196,049",ASCN,"111,296",
United Security Bancshares,BHC-SP,3015975,Fresno,CA,6/30/2025,"1,214,137",UBFO,"17,475,927",
"Riverview Bancorp, Inc.",BHC-SP,3180060,Vancouver,WA,6/30/2025,"1,516,643",RVSB,"20,976,200",
BV Financial,BHC-SP,3364178,Sparrows Point,MD,6/30/2025,"908,327",BVFL,"10,318,418",
"Northeast Community Bancorp, Inc.",BHC-SP,3435742,White Plains,NY,6/30/2025,"1,973,884",NECB,"14,023,376",
"Orange County Bancorp, Inc.",BHC-SP,3596009,Middletown,NY,6/30/2025,"2,606,264",OBT,"13,362,912",
"First Bancorp Of Indiana, Inc.",BHC-SP,3832284,Evansville,IN,6/30/2025,"605,762",FBPI,"1,699,786",
"Grand River Commerce, Inc.",BHC-SP,3916326,Grandville,MI,6/30/2025,"511,900",GNRV,"7,038,924",
Oconee Federal Financial Corp.,BHC-SP,4234063,Seneca,SC,6/30/2025,"668,187",OFED,"5,838,410",
"Esquire Financial Holdings, Inc.",BHC-SP,4267427,Jericho,NY,6/30/2025,"2,059,977",ESQ,"8,499,559",
Virginia National Bankshares Corporation,BHC-SP,4517261,Charlottesville,VA,6/30/2025,"1,634,922",VABK,"5,391,979",
Equitable Financial Corp.,BHC-SP,4841041,Grand Island,NE,6/30/2025,"518,566",EQFN,"2,586,476",
"FVCBankcorp, Inc.",BHC-SP,4875907,Fairfax,VA,6/30/2025,"2,237,250",FVCB,"18,019,204",
Op Bancorp,BHC-SP,4980409,Los Angeles,CA,6/30/2025,"2,563,595",OPBK,"14,885,614",
"Heritage Nola Bancorp, Inc.",BHC-SP,5110324,Covington,LA,6/30/2025,"187,468",HRGG,"1,239,680",
Pb Financial Corporation,BHC-SP,5165070,Rocky Mount,NC,6/30/2025,"1,401,591",PBNC,"2,939,946",
"Ffbw, Inc.",BHC-SP,5426847,Brookfield,WI,6/30/2025,"274,914",FFBW,"4,288,000",
Lewis & Clark Bancorp,BHC-SP,5491283,Oregon City,OR,6/30/2025,"345,877",LWCL,"1,062,357",
"Affinity Bancshares, Inc.",BHC-SP,5535301,Covington,GA,6/30/2025,"935,569",AFBI,"6,295,339",
"Marathon Bancorp, Inc.",BHC-SP,5557518,Wausau,WI,6/30/2025,"238,414",MBBC,"2,135,761",
"Pb Bankshares, Inc",BHC-SP,5587168,Coatesville,PA,6/30/2025,"464,127",PBBK,"2,552,315",
Blue Foundry Bancorp,BHC-SP,5650781,Rutherford,NJ,6/30/2025,"2,124,112",BLFY,"21,591,757",
Pbco Financial Corporation,BHC-SP,5687273,Medford,OR,6/30/2025,"811,098",PBCO,"5,258,407",
"Vwf Bancorp, Inc.",BHC-SP,5723760,Van Wert,OH,6/30/2025,"396,905",VWFB,"1,911,413",
"Studio Financial Holdings, Inc.",BHC-SP,5728886,Nashville,TN,6/30/2025,"1,077,954",STBK,"7,134,289",
"Sr Bancorp, Inc.",BHC-SP,5805657,Bound Brook,NJ,6/30/2025,"1,083,016",SRBK,"8,875,170",
West Coast Community Bancorp,BHC-SP,5851711,Santa Cruz,CA,6/30/2025,"2,650,436",WCCB,"10,576,882",
Sb Financial Group Inc,BHC-SP,1071454,Defiance,OH,6/30/2025,"1,486,301",SBFG,"6,359,000",
"United Bancorp, Inc.",BHC-SP,1071502,Martins Ferry,OH,6/30/2025,"847,884",UBCP,"5,956,278",
Citizens Bancshares Corporation,BHC-SP,1078958,Atlanta,GA,6/30/2025,"784,412",CZBS,"1,787,831",
Bancorp Of Southern Indiana,BHC-SP,1098590,Seymour,IN,6/30/2025,"1,040,151",BCSO,"1,350,934",
First Keystone Corporation,BHC-SP,1118265,Berwick,PA,6/30/2025,"1,437,389",FKYS,"6,218,781",
First Community Financial Corporation,BHC-SP,1132896,Mifflintown,PA,6/30/2025,"673,645",FMFP,"2,829,567",
Cnb Corporation,BHC-SP,1135422,Cheboygan,MI,6/30/2025,"469,246",CNBZ,"1,210,712",
Katahdin Bankshares Corporation,BHC-SP,1140127,Patten,ME,6/30/2025,"1,087,206",KTHN,"3,171,239",
"Benchmark Bankshares, Inc.",BHC-SP,1141441,Kenbridge,VA,6/30/2025,"1,293,220",BMBN,"4,450,872",
"Kish Bancorp, Inc.",BHC-SP,1141889,Belleville,PA,6/30/2025,"1,834,559",KISB,"2,992,909",
Crystal Valley Financial Corporation,BHC-SP,1210244,Middlebury,IN,6/30/2025,"810,146",CYVF,"1,277,273",
"Bnccorp, Inc.",BHC-SP,1248162,Bismarck,ND,6/30/2025,"941,987",BNCC,"3,523,875",
Security Federal Corporation,BHC-SP,1253773,Aiken,SC,6/30/2025,"1,625,236",SFDL,"3,184,218",
Middlefield Banc Corp,BHC-SP,1398740,Middlefield,OH,6/30/2025,"1,924,369",MBCN,"8,081,193",
Isabella Bank Corporation,BHC-SP,1401118,Mount Pleasant,MI,6/30/2025,"2,156,168",ISBA,"7,361,684",
"Morris State Bancshares, Inc.",BHC-SP,1417212,Dublin,GA,6/30/2025,"1,551,709",MBLU,"10,650,112",
"FNB, Inc.",BHC-SP,1417267,Dennison,OH,6/30/2025,"273,357",FIDS,"667,985",
"JD Bancshares, Inc.",BHC-SP,1833997,Jennings,LA,6/30/2025,"1,210,510",JDVB,"3,433,113",
"Killbuck Bancshares, Inc.",BHC-SP,2010759,Killbuck,OH,6/30/2025,"888,294",KLIB,"523,185",
Ohio Valley Banc Corp.,BHC-SP,2012436,Gallipolis,OH,6/30/2025,"1,510,644",OVBC,"4,711,001",
"Dimeco, Inc",BHC-SP,2065432,Honesdale,PA,6/30/2025,"1,114,219",DIMC,"2,541,660",
"Ks Bancorp, Inc.",BHC-SP,2155276,Smithfield,NC,6/30/2025,"726,268",KSBI,"1,107,776",
Ibw Financial Corporation,BHC-SP,2326179,Washington,DC,6/30/2025,"625,443",IBWC,"645,785",
First Community Corporation,BHC-SP,2337401,Lexington,SC,6/30/2025,"2,046,265",FCCO,"7,685,754",
"Columbia Financial, Inc.",BHC-Y9C,2571111,Fair Lawn,NJ,6/30/2025,,CLBK,"104,927,137",
"Timberland Bancorp, Inc.",BHC-SP,2621548,Hoquiam,WA,6/30/2025,"1,957,192",TSBK,"7,876,853",
"M&f Bancorp, Inc.",BHC-SP,2807810,Durham,NC,6/30/2025,"522,202",MFBP,"1,941,565",
"Patriot National Bancorp, Inc.",BHC-SP,2840479,Stamford,CT,6/30/2025,"929,953",PNBK,"85,796,228",
First Northern Community Bancorp,BHC-SP,2880626,Dixon,CA,6/30/2025,"1,871,990",FNRN,"15,818,328",
Somerset Trust Holding Company,BHC-SP,2914857,Somerset,PA,6/30/2025,"2,448,937",SOME,"2,522,298",
"Tennessee Valley Financial Holdings, Inc.",BHC-SP,3082454,Oak Ridge,TN,6/30/2025,"285,957",TVLF,"1,833,048",
Finwise Bancorp,BHC-SP,3157549,Murray,UT,6/30/2025,"842,754",FINW,"13,469,725",
Main Street Financial Services Corp,BHC-SP,3178900,Wooster,OH,6/30/2025,"1,448,771",MSWV,"7,829,137",
Broadway Financial Corporation,BHC-SP,3260841,Los Angeles,CA,6/30/2025,"1,254,293",BYFC,"9,195,909",
"Coastalsouth Bancshares, Inc.",BHC-SP,3274727,Hilton Head Island,SC,6/30/2025,"2,221,245",COSO,"10,278,921",
Mission Valley Bancorp,BHC-SP,3364600,Sun Valley,CA,6/30/2025,"740,610",MVLY,"3,345,882",
Riverbank Holding Company,BHC-SP,3438967,Spokane,WA,6/30/2025,"275,518",RBNK,"1,115,013",
"Es Bancshares, Inc.",BHC-SP,3439610,Staten Island,NY,6/30/2025,"644,982",ESBS,"6,927,000",
"Ledyard Financial Group, Inc.",BHC-SP,3625123,Hanover,NH,6/30/2025,"994,935",LFGP,"3,465,033",
"South Atlantic Bancshares, Inc.",BHC-SP,3637238,Myrtle Beach,SC,6/30/2025,"1,869,833",SABK,"7,469,063",
"Auburn Bancorp, Inc.",BHC-SP,3792409,Auburn,ME,6/30/2025,"102,731",ABBB,"503,284",
"Embassy Bancorp, Inc",BHC-SP,3806511,Bethlehem,PA,6/30/2025,"1,759,315",EMYB,"7,645,249",
Kentucky First Federal Bancorp,BHC-SP,3824494,Hazard,KY,6/30/2025,"371,211",KFFB,"8,086,715",
"Community Investors Bancorp, Inc",BHC-SP,3827918,Bucyrus,OH,6/30/2025,"336,466",CIBN,"794,142",
Home Loan Financial Corporation,BHC-SP,3828111,Coshocton,OH,6/30/2025,"361,409",HLFN,"1,406,632",
"High Country Bancorp, Inc.",BHC-SP,3833834,Salida,CO,6/30/2025,"513,904",HCBC,"1,005,129",
Ffw Corporation,BHC-SP,3848258,Wabash,IN,6/30/2025,"567,148",FFWC,"1,086,281",
Truxton Corporation,BHC-SP,3925065,Nashville,TN,6/30/2025,"1,242,656",TRUX,"2,876,939",
"Home Federal Bancorp, Inc. Of Louisiana",BHC-SP,4253121,Shreveport,LA,6/30/2025,"609,492",HFBL,"3,084,764",
"Provident Bancorp, Inc.",BHC-SP,4298711,Amesbury,MA,6/30/2025,"1,540,881",PVBC,"17,785,538",
First Northwest Bancorp,BHC-SP,4438366,Port Angeles,WA,6/30/2025,"2,195,363",FNWB,"9,444,963",
"Westbury Bancorp, Inc.",BHC-SP,4472249,Waukesha,WI,6/30/2025,"808,862",WBBW,"1,778,446",
Golden State Bancorp,BHC-SP,4725589,Glendale,CA,6/30/2025,"918,217",GSBX,"2,764,671",
Cmuv Bancorp,BHC-SP,4909521,El Centro,CA,6/30/2025,"324,951",CMUV,"1,746,772",
"Southpoint Bancshares, Inc.",BHC-SP,4975049,Birmingham,AL,6/30/2025,"1,674,721",SOUB,"2,913,784",
"Ottawa Bancorp, Inc.",BHC-SP,5009204,Ottawa,IL,6/30/2025,"346,811",OTTW,"2,351,795",
Meridian Corporation,BHC-SP,5033580,Malvern,PA,6/30/2025,"2,510,938",MRBK,"11,297,000",
"Nbc Bancorp, Inc.",BHC-SP,5333404,Coxsackie,NY,6/30/2025,"522,155",NCXS,"473,239",
"Richmond Mutual Bancorporation, Inc.",BHC-SP,5371947,Richmond,IN,6/30/2025,"1,507,759",RMBI,"10,389,000",
"Pioneer Bancorp, Inc.",BHC-SP,5374452,Albany,NY,6/30/2025,"2,096,425",PBFS,"25,557,955",
Bogota Financial Corp.,BHC-SP,5423510,Teaneck,NJ,6/30/2025,"920,670",BSBK,"13,008,389",
"CCCB Bancorp, Inc.",BHC-SP,5493876,Clarion,PA,6/30/2025,"248,174",CCYY,"1,665,667",
"Ponce Financial Group, Inc.",BHC-SP,5653018,Bronx,NY,6/30/2025,"3,153,869",PDLB,"23,984,800",
"Monroe Federal Bancorp, Inc",BHC-SP,5951965,Tipp City,OH,6/30/2025,"145,499",MFBI,"505,438",
"United Bancorporation Of Alabama, Inc.",BHC-SP,1083895,Atmore,AL,6/30/2025,"1,423,660",UBAB,"3,288,213",
Century Financial Corporation,BHC-SP,1491856,Coldwater,MI,6/30/2025,"483,500",CYFL,"1,655,247",
"Potomac Bancshares, Inc.",BHC-SP,2234920,Charles Town,WV,6/30/2025,"920,339",PTBS,"4,144,561",
"Oak Ridge Financial Services, Inc.",BHC-SP,3587427,Oak Ridge,NC,6/30/2025,"677,033",BKOR,"2,747,170",
"Inbankshares, Corp",BHC-SP,5199776,Greenwood Village,CO,6/30/2025,"1,375,480",INBC,"11,881,902",
Pacific Valley Bancorp,BHC-SP,5654426,Salinas,CA,6/30/2025,"572,433",PVBK,"4,949,622",
"Merchants & Marine Bancorp, Inc.",BHC-SP,3696093,Pascagoula,MS,6/30/2025,"948,967",MNMB,"1,330,338",
"Princeton Bancorp, Inc.",BHC-SP,5756133,Princeton,NJ,6/30/2025,"2,240,694",BPRN,"6,806,000",
Quaint Oak Bancorp Inc,BHC-SP,3681316,Southampton,PA,6/30/2025,"670,760",QNTO,"2,635,866",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,