Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,Tangible Common Equity
First Internet Bancorp,BHC-Y9C,3393178,Fishers,IN,6/30/2025,"6,072,574","372,881"
"Bank Of New York Mellon Corporation, The",BHC-Y9C,3587146,New York,NY,6/30/2025,"485,790,000","18,947,000"
"First Guaranty Bancshares, Inc.",BHC-Y9C,3589560,Hammond,LA,6/30/2025,"3,969,581","214,416"
"Big Poppy Holdings, Inc.",BHC-Y9C,3602245,Santa Rosa,CA,6/30/2025,"7,030,115","376,528"
"Raymond James Financial, Inc.",BHC-Y9C,3815157,Saint Petersburg,FL,6/30/2025,"84,813,130","10,318,369"
"Third Federal Savings And Loan Association Of Cleveland, Mhc",BHC-Y9C,3828036,Cleveland,OH,6/30/2025,"17,375,609","1,506,200"
Tfs Financial Corporation,BHC-Y9C,3828045,Cleveland,OH,6/30/2025,,
John Deere Capital Corporation,BHC-Y9C,3843075,Middleton,WI,6/30/2025,"61,036,970","5,797,746"
"Capitol Federal Financial, Inc.",BHC-Y9C,4226910,Topeka,KS,6/30/2025,"9,704,693","1,036,499"
"Gjf Financial Management Ii, Llc",BHC-Y9C,4529367,University Park,TX,6/30/2025,,
"Ford Management Ii, L.P.",BHC-Y9C,4529385,University Park,TX,6/30/2025,,
"Ford Ultimate Management Ii, Llc",BHC-Y9C,4529394,University Park,TX,6/30/2025,,
"Ford Family Investment, Lp",BHC-Y9C,4529406,University Park,TX,6/30/2025,,
"Ford Financial Fund Ii, L.P.",BHC-Y9C,4529415,University Park,TX,6/30/2025,,
2011 Tcrt,BHC-Y9C,4759650,University Park,TX,6/30/2025,,
"Eb Acquisition Company, Llc",BHC-Y9C,4759669,University Park,TX,6/30/2025,"16,575,049","48,046"
"Ford Financial Fund Iii, L.P.",BHC-Y9C,5375431,University Park,TX,6/30/2025,,
"Ford Management Iii, L.P.",BHC-Y9C,5375440,University Park,TX,6/30/2025,,
Eb Acquisition Company Ii Llc,BHC-Y9C,5375459,University Park,TX,6/30/2025,"16,575,049","219,766"
"Adam Corporation/group, The",BHC-Y9C,5902912,College Station,TX,6/30/2025,"3,683,791","1,210,218"
Central Pacific Financial Corp.,BHC-Y9C,1022764,Honolulu,HI,6/30/2025,"7,369,567","568,873"
Bank Of Hawaii Corporation,BHC-Y9C,1025309,Honolulu,HI,6/30/2025,"23,709,752","1,375,489"
Westamerica Bancorporation,BHC-Y9C,1025541,San Rafael,CA,6/30/2025,"5,834,144","800,091"
"First Hawaiian, Inc.",BHC-Y9C,1025608,Honolulu,HI,6/30/2025,"23,837,147","1,699,053"
"Charles Schwab Corporation, The",BHC-Y9C,1026632,Westlake,TX,6/30/2025,"458,936,000","23,250,000"
Cvb Financial Corp.,BHC-Y9C,1029222,Ontario,CA,6/30/2025,"15,414,130","1,466,843"
W.T.B. Financial Corporation,BHC-Y9C,1029464,Spokane,WA,6/30/2025,"10,684,981","958,404"
Trustco Bank Corp Ny,BHC-Y9C,1048513,Glenville,NY,6/30/2025,"6,348,375","692,252"
Arrow Financial Corporation,BHC-Y9C,1048812,Glens Falls,NY,6/30/2025,"4,414,719","383,230"
"Community Financial System, Inc.",BHC-Y9C,1048867,Dewitt,NY,6/30/2025,"16,665,018","984,710"
"Spend Life Wisely Company, Inc.",BHC-Y9C,1058398,Durant,OK,6/30/2025,"16,455,547","1,103,130"
FirstSun Capital Bancorp,BHC-Y9C,1066713,Denver,CO,6/30/2025,"8,435,861","995,638"
"Wesbanco, Inc.",BHC-Y9C,1070448,Wheeling,WV,6/30/2025,"27,573,541","1,929,566"
First Financial Bancorp,BHC-Y9C,1071276,Cincinnati,OH,6/30/2025,"18,634,255","1,494,417"
"S&t Bancorp, Inc.",BHC-Y9C,1071397,Indiana,PA,6/30/2025,"9,810,069","1,069,412"
"First Citizens Bancshares, Inc.",BHC-Y9C,1075612,Raleigh,NC,6/30/2025,"229,653,000","20,847,000"
City Holding Company,BHC-Y9C,1076262,Charleston,WV,6/30/2025,"6,597,802","605,257"
Trustmark Corporation,BHC-Y9C,1079562,Jackson,MS,6/30/2025,"18,615,659","1,736,121"
Seacoast Banking Corporation Of Florida,BHC-Y9C,1085013,Stuart,FL,6/30/2025,"15,944,955","1,479,422"
"Capital City Bank Group, Inc.",BHC-Y9C,1085509,Tallahassee,FL,6/30/2025,"4,391,753","433,730"
"Arvest Bank Group, Inc.",BHC-Y9C,1095674,Bentonville,AR,6/30/2025,"27,442,057","1,606,213"
First Security Bancorp,BHC-Y9C,1096505,Searcy,AR,6/30/2025,"8,406,399","1,468,149"
"United Community Bancorp, Inc.",BHC-Y9C,1097182,Chatham,IL,6/30/2025,"3,883,620","350,816"
Longview Financial Corporation,BHC-Y9C,1103766,Longview,TX,6/30/2025,"4,342,361","476,008"
International Bancshares Corporation,BHC-Y9C,1104231,Laredo,TX,6/30/2025,"16,462,314","2,739,535"
"Prosperity Bancshares, Inc.",BHC-Y9C,1109599,Houston,TX,6/30/2025,"38,440,948","4,037,813"
Fulton Financial Corporation,BHC-Y9C,1117129,Lancaster,PA,6/30/2025,"31,959,742","2,509,839"
Fishback Financial Corporation,BHC-Y9C,1123072,Brookings,SD,6/30/2025,"4,750,276","497,764"
"Choice Financial Holdings, Inc.",BHC-Y9C,1125030,Fargo,ND,6/30/2025,"5,786,581","535,170"
Stockman Financial Corporation,BHC-Y9C,1126046,Miles City,MT,6/30/2025,"6,881,753","678,962"
"Popular, Inc.",BHC-Y9C,1129382,San Juan,PR,6/30/2025,"76,065,000","5,123,000"
Camden National Corporation,BHC-Y9C,1130249,Camden,ME,6/30/2025,"6,920,044","455,117"
"Rcb Holding Company, Inc.",BHC-Y9C,1130584,Claremore,OK,6/30/2025,"3,972,883","358,818"
Bravera Holdings Corp.,BHC-Y9C,1133781,Dickinson,ND,6/30/2025,"3,702,136","273,876"
Nbt Bancorp Inc.,BHC-Y9C,1139279,Norwich,NY,6/30/2025,"16,014,781","1,286,647"
Peoples Financial Services Corp.,BHC-Y9C,1139541,Dunmore,PA,6/30/2025,"5,107,879","387,332"
"Citizens Bancorp Investment, Inc.",BHC-Y9C,1140239,Lafayette,TN,6/30/2025,"1,715,479","140,352"
1st Source Corporation,BHC-Y9C,1199602,South Bend,IN,6/30/2025,"9,087,969","1,114,694"
"First National Bancshares, Inc.",BHC-Y9C,1206313,East Lansing,MI,6/30/2025,"6,436,538","536,686"
"Old Second Bancorp, Inc.",BHC-Y9C,1206911,Aurora,IL,6/30/2025,"5,701,294","605,445"
"Horizon Bancorp, Inc.",BHC-Y9C,1209136,Michigan City,IN,6/30/2025,"7,652,051","627,050"
BMO Financial Corp.,BHC-Y9C,1245415,Chicago,IL,6/30/2025,"295,171,652","23,717,172"
"First Business Financial Services, Inc.",BHC-Y9C,1247428,Madison,WI,6/30/2025,"4,004,685","321,452"
"Orrstown Financial Services, Inc.",BHC-Y9C,1248153,Harrisburg,PA,6/30/2025,"5,387,645","435,949"
First Farmers Financial Corporation,BHC-Y9C,1249039,Converse,IN,6/30/2025,"3,323,492","277,938"
Td Bank Us Holding Company,BHC-Y9C,1249196,Cherry Hill,NJ,6/30/2025,,
First American Financial Corporation,BHC-Y9C,1250101,Santa Ana,CA,6/30/2025,"16,273,875","1,966,336"
"Dime Community Bancshares, Inc.",BHC-Y9C,1416523,Hauppauge,NY,6/30/2025,"14,206,318","1,155,231"
"State Bankshares, Inc.",BHC-Y9C,1417333,Fargo,ND,6/30/2025,"14,204,564","1,445,154"
"Stearns Financial Services, Inc.",BHC-Y9C,1427275,Saint Cloud,MN,6/30/2025,"3,642,909","408,848"
"PNC Bancorp, Inc.",BHC-Y9C,1469314,Wilmington,DE,6/30/2025,,
"Johnson Financial Group, Inc.",BHC-Y9C,1490701,Racine,WI,6/30/2025,"7,082,585","821,836"
"University Bancorp, Inc.",BHC-Y9C,1496253,Ann Arbor,MI,6/30/2025,"1,131,357","93,906"
Ally Financial Inc.,BHC-Y9C,1562859,Detroit,MI,6/30/2025,"189,473,000","12,033,000"
"Bnp Paribas Usa, Inc.",BHC-Y9C,1575569,New York,NY,6/30/2025,"71,629,386","6,085,468"
Citigroup Inc.,BHC-Y9C,1951350,New York,NY,6/30/2025,"2,622,772,000","173,398,000"
Atlantic Union Bankshares Corporation,BHC-Y9C,1971693,Glen Allen,VA,6/30/2025,"37,289,994","2,603,990"
"Columbia Banking System, Inc.",BHC-Y9C,2078816,Tacoma,WA,6/30/2025,"51,901,442","3,880,911"
"Flagstar Financial, Inc.",BHC-Y9C,2132932,Hicksville,NY,6/30/2025,"92,236,627","7,158,857"
"Central Bancshares, Inc.",BHC-Y9C,2158156,Lexington,KY,6/30/2025,"3,770,576","430,361"
Morgan Stanley,BHC-Y9C,2162966,New York,NY,6/30/2025,"1,353,870,000","75,517,000"
"Smbc Americas Holdings, Inc.",BHC-Y9C,2170804,New York,NY,6/30/2025,"51,287,216","6,113,349"
D.L. Evans Bancorp,BHC-Y9C,2242523,Burley,ID,6/30/2025,"3,552,746","260,031"
Wintrust Financial Corporation,BHC-Y9C,2260406,Rosemont,IL,6/30/2025,"68,983,318","5,479,557"
Enterprise Financial Services Corp,BHC-Y9C,2303910,Clayton,MO,6/30/2025,"16,076,299","1,478,871"
"Lone Star National Bancshares--texas, Inc.",BHC-Y9C,2325350,Mcallen,TX,6/30/2025,"3,310,117","201,138"
"Berkshire Hills Bancorp, Inc",BHC-Y9C,2333663,Boston,MA,6/30/2025,"12,035,611","1,209,379"
Western Alliance Bancorporation,BHC-Y9C,2349815,Phoenix,AZ,6/30/2025,"86,724,794","6,165,994"
Snbny Holdings Limited,BHC-Y9C,2368106,Gibraltar,1/00/1900,6/30/2025,"10,835,574","1,262,291"
Beacon Bancorp,BHC-Y9C,2388878,Taunton,MA,6/30/2025,"3,001,805","436,276"
"Pathward Financial, Inc.",BHC-Y9C,2390013,Sioux Falls,SD,6/30/2025,"7,229,632","503,234"
National Consumer Cooperative Bank,BHC-Y9C,2398082,Arlington,VA,6/30/2025,"4,071,490","416,651"
"Carver Bancorp, Inc.",BHC-Y9C,2531245,New York,NY,6/30/2025,"713,623","6,805"
Midland Financial Co.,BHC-Y9C,2568278,Oklahoma City,OK,6/30/2025,"40,517,132","3,627,985"
Mb Mutual Holding Company,BHC-Y9C,2589714,Wall Township,NJ,6/30/2025,"3,299,554","269,240"
"Mb Bancorp, Inc.",BHC-Y9C,2589723,Manasquan,NJ,6/30/2025,,
Heritage Commerce Corp,BHC-Y9C,2634874,San Jose,CA,6/30/2025,"5,467,236","521,250"
"Northpointe Bancshares, Inc.",BHC-Y9C,2737814,Grand Rapids,MI,6/30/2025,"6,430,894","503,737"
First Bancorp,BHC-Y9C,2744894,San Juan,PR,6/30/2025,"18,897,529","1,802,309"
"Capital Bancshares, Inc",BHC-Y9C,2777016,Little Rock,AR,6/30/2025,"3,605,580","275,492"
"Capital Bancorp, Inc.",BHC-Y9C,2808590,Rockville,MD,6/30/2025,"3,389,674","340,495"
Db Usa Corporation,BHC-Y9C,2816906,New York,NY,6/30/2025,"114,814,000","10,912,000"
"Bancorp, Inc., The",BHC-Y9C,2858951,Wilmington,DE,6/30/2025,"8,839,230","859,210"
"Discount Bancorp, Inc.",BHC-Y9C,2894230,New York,NY,6/30/2025,"13,637,752","1,379,809"
Hanmi Financial Corporation,BHC-Y9C,2900261,Los Angeles,CA,6/30/2025,"7,862,363","750,000"
Community West Bancshares,BHC-Y9C,2935405,Fresno,CA,6/30/2025,"3,576,811","272,078"
Sierra Bancorp,BHC-Y9C,2976396,Porterville,CA,6/30/2025,"3,770,302","328,056"
Jsa Family Limited Partnership,BHC-Y9C,3035227,Jacksonville,TX,6/30/2025,,
Stifel Financial Corp.,BHC-Y9C,3063622,Saint Louis,MO,6/30/2025,"39,859,653","3,317,643"
Kearny Financial Corporation,BHC-Y9C,3099443,Fairfield,NJ,6/30/2025,"7,740,450","630,941"
"Banc Of California, Inc.",BHC-Y9C,3153130,Los Angeles,CA,6/30/2025,"34,250,453","2,593,550"
"Peoplesbancorp, Mhc",BHC-Y9C,3186585,Holyoke,MA,6/30/2025,"6,020,026","452,616"
"Stifel Bancorp, Inc.",BHC-Y9C,3189728,Saint Louis,MO,6/30/2025,,
Coastal Financial Corporation,BHC-Y9C,3203008,Everett,WA,6/30/2025,"4,480,559","461,701"
MVB Financial Corp.,BHC-Y9C,3211601,Fairmont,WV,6/30/2025,"3,232,421","300,120"
Bank7 Corp,BHC-Y9C,3256134,Oklahoma City,OK,6/30/2025,"1,836,346","219,836"
Salem Five Bancorp,BHC-Y9C,3365858,Salem,MA,6/30/2025,"8,291,044","855,588"
"Forbright, Inc.",BHC-Y9C,3391129,Chevy Chase,MD,6/30/2025,"7,401,141","719,930"
"Apple Financial Holdings, Inc.",BHC-Y9C,3446412,New York,NY,6/30/2025,"18,348,352","1,086,149"
SSB Community Bancorp Inc.,BHC-Y9C,3547038,Spencer,MA,6/30/2025,,
Td Group Us Holdings Llc,BHC-Y9C,3606542,Cherry Hill,NJ,6/30/2025,"520,866,415","43,859,791"
Hometown Financial Group Mhc,BHC-Y9C,3728930,Easthampton,MA,6/30/2025,"6,597,202","550,048"
"Hometown Financial Group, Inc",BHC-Y9C,3728958,Easthampton,MA,6/30/2025,,
"Morgan Stanley Capital Management, Llc",BHC-Y9C,3820290,New York,NY,6/30/2025,,
"First Command Financial Services, Inc.",BHC-Y9C,3821916,Fort Worth,TX,6/30/2025,"1,375,262","91,945"
Ohio Farmers Insurance Company,BHC-Y9C,3828661,Westfield Center,OH,6/30/2025,"12,315,730","3,494,709"
Fidelity Federal Bancorp,BHC-Y9C,3832293,Evansville,IN,6/30/2025,,
First Foundation Inc.,BHC-Y9C,3842658,Irving,TX,6/30/2025,"11,594,157","960,030"
WSFS Financial Corporation,BHC-Y9C,3844269,Wilmington,DE,6/30/2025,"20,763,292","1,706,353"
"Pedcor Financial, Llc",BHC-Y9C,3848931,Carmel,IN,6/30/2025,"6,634,411","438,161"
Pedcor Financial Bancorp,BHC-Y9C,3848940,Carmel,IN,6/30/2025,,
"Capital Funding Bancorp, Inc.",BHC-Y9C,3927078,Baltimore,MD,6/30/2025,"5,518,925","453,873"
"Santander Holdings Usa, Inc.",BHC-Y9C,3981856,Boston,MA,6/30/2025,"172,118,585","13,490,440"
"Bankunited, Inc.",BHC-Y9C,4028712,Miami Lakes,FL,6/30/2025,"35,463,159","2,875,330"
Northwest Bancshares Inc,BHC-Y9C,4122722,Columbus,OH,6/30/2025,"14,507,471","1,259,069"
Cape Cod Five Mutual Company,BHC-Y9C,4369808,Hyannis,MA,6/30/2025,"7,164,931","566,692"
"CRB Group, Inc.",BHC-Y9C,4389329,Fort Lee,NJ,6/30/2025,"7,987,318","636,404"
Synchrony Financial,BHC-Y9C,4504654,Stamford,CT,6/30/2025,"120,505,000","13,594,000"
Barclays Us Llc,BHC-Y9C,5006575,New York,NY,6/30/2025,"206,857,000","15,017,000"
CIBC Bancorp Usa Inc.,BHC-Y9C,5014141,Chicago,IL,6/30/2025,"74,910,659","10,104,514"
Dws Usa Corporation,BHC-Y9C,5149016,New York,NY,6/30/2025,"2,258,385","862,631"
Dollar Mutual Bancorp,BHC-Y9C,5218097,Pittsburgh,PA,6/30/2025,"11,943,865","1,191,908"
"Jiko Group, Inc.",BHC-Y9C,5306499,San Francisco,CA,6/30/2025,"158,814","-83,301"
Southern California Bancorp,BHC-Y9C,5443938,San Diego,CA,6/30/2025,"3,953,717","416,329"
"Newtekone, Inc.",BHC-Y9C,5586741,Boca Raton,FL,6/30/2025,"2,126,217","256,554"
"Sofi Technologies, Inc.",BHC-Y9C,5586871,San Francisco,CA,6/30/2025,"41,112,171","4,910,641"
"Tristate Capital Holding Company, Llc",BHC-Y9C,5686070,Saint Petersburg,FL,6/30/2025,,
Burke & Herbert Financial Services Corp.,BHC-Y9C,5756704,Alexandria,VA,6/30/2025,"8,053,084","685,140"
"Nb Bancorp, Inc.",BHC-Y9C,5860236,Needham,MA,6/30/2025,"5,226,691","736,117"
"Connectone Bancorp, Inc.",BHC-Y9C,1048764,Englewood Cliffs,NJ,6/30/2025,"13,915,738","1,103,578"
First Commonwealth Financial Corporation,BHC-Y9C,1071306,Indiana,PA,6/30/2025,"12,237,147","1,115,953"
"Central Bancompany, Inc",BHC-Y9C,1094314,Jefferson City,MO,6/30/2025,"19,126,661","2,820,051"
Old National Bancorp,BHC-Y9C,1098303,Evansville,IN,6/30/2025,"70,979,805","4,936,756"
Wells Fargo & Company,BHC-Y9C,1120754,San Francisco,CA,6/30/2025,"1,981,269,000","137,996,000"
"Dacotah Banks, Inc.",BHC-Y9C,1121229,Aberdeen,SD,6/30/2025,"4,611,687","433,780"
Amerant Bancorp Inc.,BHC-Y9C,1135972,Coral Gables,FL,6/30/2025,"10,334,678","901,730"
"Ocean Bankshares, Inc.",BHC-Y9C,1136661,Miami,FL,6/30/2025,"7,250,252","671,632"
"Woodforest Financial Group, Inc.",BHC-Y9C,1137770,The Woodlands,TX,6/30/2025,"9,558,878","838,341"
Webster Financial Corporation,BHC-Y9C,1145476,Stamford,CT,6/30/2025,"81,914,270","5,869,599"
Bank First Corporation,BHC-Y9C,1208009,Manitowoc,WI,6/30/2025,"4,366,382","418,595"
First Financial Corporation,BHC-Y9C,1208595,Terre Haute,IN,6/30/2025,"5,637,854","470,894"
Lincoln Bancorp,BHC-Y9C,1210169,Reinbeck,IA,6/30/2025,"1,785,109","111,905"
American Express Company,BHC-Y9C,1275216,New York,NY,6/30/2025,"295,556,000","25,787,000"
Bac North America Holding Company,BHC-Y9C,1379552,Charlotte,NC,6/30/2025,,
"First Bankers Trustshares, Inc.",BHC-Y9C,1404632,Quincy,IL,6/30/2025,"1,219,485","69,271"
United Services Automobile Association,BHC-Y9C,1447376,San Antonio,TX,6/30/2025,"228,288,000","35,742,000"
United National Corporation,BHC-Y9C,1842421,Sioux Falls,SD,6/30/2025,"4,613,338","2,140,181"
Nb Holdings Corporation,BHC-Y9C,2173092,Charlotte,NC,6/30/2025,,
H Bancorp Llc,BHC-Y9C,2453084,Irvine,CA,6/30/2025,"3,725,163","287,560"
"Arbor Bancorp, Inc.",BHC-Y9C,2454380,Ann Arbor,MI,6/30/2025,"3,291,049","294,125"
Columbia Bank Mhc,BHC-Y9C,2571120,Fair Lawn,NJ,6/30/2025,"10,737,588","693,285"
"East West Bancorp, Inc.",BHC-Y9C,2734233,Pasadena,CA,6/30/2025,"78,158,067","7,735,725"
"Bou Bancorp, Inc.",BHC-Y9C,2935142,Ogden,UT,6/30/2025,"3,546,837","419,607"
"Sturm Financial Group, Inc.",BHC-Y9C,2942702,Denver,CO,6/30/2025,"2,957,790","129,170"
"Hope Bancorp, Inc.",BHC-Y9C,2961879,Los Angeles,CA,6/30/2025,"18,547,233","1,696,702"
"Landmark Bancorp, Inc.",BHC-Y9C,3030307,Manhattan,KS,6/30/2025,"1,624,865","113,724"
"Jane Austin Chapman Limited Partnership, L.P.",BHC-Y9C,3072660,Frankston,TX,6/30/2025,,
"Provident Financial Services, Inc.",BHC-Y9C,3133637,Jersey City,NJ,6/30/2025,"24,562,661","1,908,399"
Five Star Bancorp,BHC-Y9C,3162927,Rancho Cordova,CA,6/30/2025,"4,413,473","415,247"
"First Western Financial, Inc.",BHC-Y9C,3189906,Denver,CO,6/30/2025,"3,026,797","227,323"
"Southern Missouri Bancorp, Inc.",BHC-Y9C,3266227,Poplar Bluff,MO,6/30/2025,"5,019,655","473,268"
Primis Financial Corp.,BHC-Y9C,3325740,Mc Lean,VA,6/30/2025,"3,871,758","282,907"
Bank Of Marin Bancorp,BHC-Y9C,3590388,Novato,CA,6/30/2025,"3,726,193","363,440"
"Servisfirst Bancshares, Inc.",BHC-Y9C,3635319,Homewood,AL,6/30/2025,"17,378,628","1,707,668"
"Bci Financial Group, Inc.",BHC-Y9C,3762457,Miami,FL,6/30/2025,"27,066,807","2,627,032"
"Axos Financial, Inc.",BHC-Y9C,3814310,Las Vegas,NV,6/30/2025,"24,783,079","2,546,174"
"Hilltop Holdings, Inc",BHC-Y9C,3838727,University Park,TX,6/30/2025,"15,362,273","1,925,075"
Everbank Financial Corp,BHC-Y9C,3838857,Jacksonville,FL,6/30/2025,"44,450,429","3,152,307"
National Bank Holdings Corporation,BHC-Y9C,3973888,Greenwood Village,CO,6/30/2025,"9,998,729","999,642"
Green Dot Corporation,BHC-Y9C,4057262,Provo,UT,6/30/2025,"5,583,464","534,945"
Investar Holding Corporation,BHC-Y9C,4090054,Baton Rouge,LA,6/30/2025,"2,748,065","214,502"
"Veritex Holdings, Inc.",BHC-Y9C,4105266,Dallas,TX,6/30/2025,"12,527,868","1,219,761"
Rbb Bancorp,BHC-Y9C,4176855,Los Angeles,CA,6/30/2025,"4,090,040","444,221"
"Customers Bancorp, Inc",BHC-Y9C,4284536,West Reading,PA,6/30/2025,"22,558,609","1,775,187"
First Mutual Holding Co.,BHC-Y9C,4843090,Lakewood,OH,6/30/2025,"3,210,432","213,560"
Ubs Americas Holding Llc,BHC-Y9C,4846998,New York,NY,6/30/2025,"205,747,350","18,498,573"
Mizuho Americas Llc,BHC-Y9C,5034792,New York,NY,6/30/2025,"83,206,000","7,204,000"
1831 Bancorp Mhc,BHC-Y9C,5164989,Dedham,MA,6/30/2025,"4,858,234","386,122"
1831 Bancorp Inc,BHC-Y9C,5164998,Dedham,MA,6/30/2025,,
Rbc Us Group Holdings Llc,BHC-Y9C,5280254,Toronto,1/00/1900,6/30/2025,"184,777,195","22,070,808"
"Carter Bankshares, Inc.",BHC-Y9C,5530258,Martinsville,VA,6/30/2025,"4,784,091","403,369"
Hsbc Usa Inc.,BHC-Y9C,1020201,New York,NY,6/30/2025,,
"Wfc Holdings, Llc",BHC-Y9C,2741679,San Francisco,CA,6/30/2025,,
Barclays Group US Inc.,BHC-Y9C,2914521,New York,NY,6/30/2025,,
"American Express Travel Related Services Company, Inc.",BHC-Y9C,3793536,New York,NY,6/30/2025,,
"Diamond A Financial, Lp",BHC-Y9C,3838811,University Park,TX,6/30/2025,,
Plainscapital Corporation,BHC-Y9C,4414137,University Park,TX,6/30/2025,,
"Smith & Hood Holding Company, L.L.C.",BHC-Y9C,4991076,Amite,LA,6/30/2025,,
JPMorgan Chase Holdings LLC,BHC-Y9C,5064641,New York,NY,6/30/2025,,
"Diamond Hth Stock Company Gp, Llc",BHC-Y9C,5213690,Univeristy Park,TX,6/30/2025,,
"Diamond Hth Stock Company, Lp",BHC-Y9C,5213702,University Park,TX,6/30/2025,,
"Jane Austin Chapman Management Company, L.C.",BHC-Y9C,6000749,Frankston,TX,6/30/2025,,
B.N.Y. Holdings (delaware) Corporation,BHC-Y9C,1023220,Wilmington,DE,6/30/2025,,
Deutsche Bank Trust Corporation,BHC-Y9C,1032473,New York,NY,6/30/2025,,
Overton Financial Corporation,BHC-Y9C,1138423,Overton,TX,6/30/2025,,
Overton Delaware Corporation,BHC-Y9C,1975075,Longview,TX,6/30/2025,,
"Popular North America, Inc.",BHC-Y9C,2138466,San Juan,PR,6/30/2025,,
Lindale Delaware Corporation,BHC-Y9C,2259503,Longview,TX,6/30/2025,,
Longview Delaware Corporation,BHC-Y9C,2259530,Longview,TX,6/30/2025,,
"Columbia Financial, Inc.",BHC-Y9C,2571111,Fair Lawn,NJ,6/30/2025,,
Fifth Third Financial Corporation,BHC-Y9C,2990244,Cincinnati,OH,6/30/2025,,
Safra New York Corporation,BHC-Y9C,3292217,New York,NY,6/30/2025,,
Citicorp Llc,BHC-Y9C,3375370,New York,NY,6/30/2025,,
"Adam Bank Group, Inc.",BHC-Y9C,3447567,College Station,TX,6/30/2025,,
Ncb Financial Corporation,BHC-Y9C,3857308,Arlington,VA,6/30/2025,,
"Ib Finance Holding Company, Llc",BHC-Y9C,3867147,Detroit,MI,6/30/2025,,
Workers United,BHC-Y9C,4400336,Philadelphia,PA,6/30/2025,,
"Slhc Trust, The",BHC-Y9C,4970802,Dallas,TX,6/30/2025,,
"Rj Pope Investments Iv, Ltd.",BHC-Y9C,5842241,Longview,TX,6/30/2025,,
"Rj Pope Management Gp, Llc",BHC-Y9C,5842250,Longview,TX,6/30/2025,,
Tac Financial Corporation,BHC-Y9C,5902921,College Station,TX,6/30/2025,,
Usaa Capital Corp.,BHC-Y9C,1447385,San Antonio,TX,6/30/2025,,
Rbc Usa Holdco Corporation,BHC-Y9C,3226762,New York,NY,6/30/2025,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,